Prompt	Seitenzahl	Nummer	Datierung	Ort	Datum	Frühstmögliches Datum	Spätestmögliches Datum
Gold	208-210	40	Ferentino, 1150 Dezember 17.	Ferentino	1150 Dezember 17.	1150-12-17	1150-12-17
Gold	210-212	41	Lateran, (1153) Januar 8.	Lateran	(1153) Januar 8.	1153-01-08	1153-01-08
Gold	212-213	42	Rom, St. Peter (1150-53) Mai 3.	Rom, St. Peter	(1150-53) Mai 3.	1150-05-03	1153-05-03
Gold	213-215	43	Lateran, 1154 Januar 1.	Lateran	1154 Januar 1.	1154-01-01	1154-01-01
Gold	215-216	44	Lateran, (1154) Januar 2.	Lateran	(1154) Januar 2.	1154-01-02	1154-01-02
Gold	216-217	45	Lateran, 1154 (April 20 oder Mai 9).	Lateran	1154 (April 20 oder Mai 9).	1154-04-20	1154-05-09
Gold	217-218	46	(Ende 1153 -vor Sommer 1154).		(Ende 1153 -vor Sommer 1154).	1153-12-01	1154-05-31
Gold	218-220	47	(1154 Sommer).		(1154 Sommer).	1154-06-01	1154-08-31
Gold	220-221	48	Lateran, (1154) November 25.	Lateran	(1154) November 25.	1154-11-25	1154-11-25
Gold	221-222	49	Rom St.Peter, (1154) Dezember 13.	Rom St.Peter	(1154) Dezember 13.	1154-12-13	1154-12-13
Gold	222-223	50	Rom St. Peter, (1154) Dezember 16.	Rom St. Peter	(1154) Dezember 16.	1154-12-16	1154-12-16
Gold	223-224	51	(1155 Anfang).		(1155 Anfang).	1155-01-01	1155-01-31
Gold	224	52	Lateran, (1156-58) Dezember 23.	Lateran	(1156-58) Dezember 23.	1156-12-23	1158-12-23
Gold	225-226	53	Lateran, (1159) Februar 18.	Lateran	(1159) Februar 18.	1159-02-18	1159-02-18
Gold	226	54	Lateran, (1159) Februar 18.	Lateran	(1159) Februar 18.	1159-02-18	1159-02-18
Gold	226-227	55	Lateran, (1159) Mai 23.	Lateran	(1159) Mai 23.	1159-05-23	1159-05-23
Gold	227-229	56	(1159 Jan. 6-Sept.		(1159 Jan. 6-Sept.	1159-01-06	1159-09-30
Gold	229-230	57	(1159 vor September 1).		(1159 vor September 1).	1159-01-01	1159-08-31
Gold	230-231	58	(1159 vor September 1).		(1159 vor September 1).	1159-01-01	1159-08-31
Gold	231-232	59	(1159 vor September 1).		(1159 vor September 1).	1159-01-01	1159-08-31
Gold	232-233	60	(1159 vor September 1).		(1159 vor September 1).	1159-01-01	1159-08-31
Gold	233	61			-	-	-
Gold	233-234	62	(1159 vor September 1).		(1159 vor September 1).	1159-01-01	1159-08-31
Gold	234-235	63	(1159 vor September 1).		(1159 vor September 1).	1159-01-01	1159-08-31
Gold	235-236	64	(1159 vor September 1).		(1159 vor September 1).	1159-01-01	1159-08-31
Gold	236-237	65	(1159 vor September 1).		(1159 vor September 1).	1159-01-01	1159-08-31
Gold	237-238	66	(1159 vor September 1).		(1159 vor September 1).	1159-01-01	1159-08-31
Gold	238	67	(1159 vor September 1).		(1159 vor September 1).	1159-01-01	1159-08-31
Gold	238-239	68	(1159 vor September 1).		(1159 vor September 1).	1159-01-01	1159-08-31
Gold	239-240	69	(1159 vor September 1).		(1159 vor September 1).	1159-01-01	1159-08-31
Gold	240-241	70	(1159 vor September 1).		(1159 vor September 1).	1159-01-01	1159-08-31
Gold	241-243	71	(1159 nach September 7-1160 Januar).		(1159 nach September 7-1160 Januar).	1159-09-08	1160-01-31
Gold	243-244	72	Chartres, (vor 1161) Februar 22.	Chartres	(vor 1161) Februar 22.	1059-01-01	1161-02-21
Gold	244-245	73	(vor 1161 Mai).		(vor 1161 Mai).	1159-01-01	1161-04-30
Gold	245-246	74	(1160-1161  Mai).		(1160-1161  Mai).	1160-05-01	1161-05-31
Gold	246-247	75	Praeneste, (1161) Juni 27.	Praeneste	(1161) Juni 27.	1161-06-27	1161-06-27
